2014-07-08 19:38:55 :  UDP Server run 
2014-07-08 19:38:55 :  HeartBeat run 
2014-07-08 19:40:45 : get UDP information from192.168.1.105,CPU Usage:12 
2014-07-08 19:40:45 : get UDP information from192.168.1.103,CPU Usage:20 
2014-07-08 19:40:46 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:40:46 : get UDP information from192.168.1.105,CPU Usage:15 
2014-07-08 19:40:46 : get UDP information from192.168.1.103,CPU Usage:6 
2014-07-08 19:40:47 : get UDP information from192.168.1.104,CPU Usage:40 
2014-07-08 19:40:47 : get UDP information from192.168.1.105,CPU Usage:6 
2014-07-08 19:40:47 : get UDP information from192.168.1.103,CPU Usage:10 
2014-07-08 19:40:48 : get UDP information from192.168.1.104,CPU Usage:10 
2014-07-08 19:40:48 : get UDP information from192.168.1.105,CPU Usage:23 
2014-07-08 19:40:49 : get UDP information from192.168.1.103,CPU Usage:17 
2014-07-08 19:40:50 : get UDP information from192.168.1.104,CPU Usage:20 
2014-07-08 19:40:50 : get UDP information from192.168.1.105,CPU Usage:16 
2014-07-08 19:40:50 : get UDP information from192.168.1.103,CPU Usage:27 
2014-07-08 19:40:51 : get UDP information from192.168.1.104,CPU Usage:5 
2014-07-08 19:40:51 : get UDP information from192.168.1.105,CPU Usage:11 
2014-07-08 19:40:51 : get UDP information from192.168.1.103,CPU Usage:5 
2014-07-08 19:40:52 : get UDP information from192.168.1.104,CPU Usage:20 
2014-07-08 19:40:52 : get UDP information from192.168.1.105,CPU Usage:15 
2014-07-08 19:40:52 : get UDP information from192.168.1.103,CPU Usage:12 
2014-07-08 19:40:53 : get UDP information from192.168.1.104,CPU Usage:5 
2014-07-08 19:40:53 : get UDP information from192.168.1.105,CPU Usage:15 
2014-07-08 19:40:53 : get UDP information from192.168.1.103,CPU Usage:10 
2014-07-08 19:40:54 : get UDP information from192.168.1.104,CPU Usage:20 
2014-07-08 19:40:54 : get UDP information from192.168.1.105,CPU Usage:5 
2014-07-08 19:40:55 : get UDP information from192.168.1.103,CPU Usage:23 
2014-07-08 19:40:56 : get UDP information from192.168.1.104,CPU Usage:15 
2014-07-08 19:40:56 : get UDP information from192.168.1.105,CPU Usage:53 
2014-07-08 19:40:56 : get UDP information from192.168.1.103,CPU Usage:12 
2014-07-08 19:40:57 : get UDP information from192.168.1.104,CPU Usage:34 
2014-07-08 19:40:57 : get UDP information from192.168.1.105,CPU Usage:6 
2014-07-08 19:40:57 : get UDP information from192.168.1.103,CPU Usage:11 
2014-07-08 19:40:58 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:40:58 : get UDP information from192.168.1.105,CPU Usage:20 
2014-07-08 19:40:58 : get UDP information from192.168.1.103,CPU Usage:10 
